kode,cmg,tipe,nomor,keparahan,deskripsi,regional,kelas_rs,kepemilikan,rawat,tarif_kelas3,tarif_kelas2,tarif_kelas1
A-4-10-I,A,4,10,I,SEPTIKEMIA (RINGAN),1,A,PEMERINTAH,INAP,3702300,4313200,4924100
A-4-10-II,A,4,10,II,SEPTIKEMIA (SEDANG),1,A,PEMERINTAH,INAP,6323900,7367300,8410800
A-4-10-III,A,4,10,III,SEPTIKEMIA (BERAT),1,A,PEMERINTAH,INAP,8526600,9933500,11340400
A-4-11-I,A,4,11,I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),1,A,PEMERINTAH,INAP,4917700,5729100,6540500
A-4-11-II,A,4,11,II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),1,A,PEMERINTAH,INAP,6465700,7532500,8599300
A-4-11-III,A,4,11,III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),1,A,PEMERINTAH,INAP,8841500,10300300,11759200
A-4-12-I,A,4,12,I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),1,A,PEMERINTAH,INAP,2927100,3410100,3893100
A-4-12-II,A,4,12,II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),1,A,PEMERINTAH,INAP,5052600,5886300,6720000
A-4-12-III,A,4,12,III,DEMAM YANG TIDAK DITENTUKAN (BERAT),1,A,PEMERINTAH,INAP,7279900,8481100,9682300
A-4-13-I,A,4,13,I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),1,A,PEMERINTAH,INAP,2178600,2538100,2897600
A-4-13-II,A,4,13,II,INFEKSI VIRAL & NON-BAKTERIAL LAIN (SEDANG),1,A,PEMERINTAH,INAP,3850100,4485400,5120700
A-4-13-III,A,4,13,III,INFEKSI VIRAL & NON-BAKTERIAL LAIN (BERAT),1,A,PEMERINTAH,INAP,4620100,5382400,6144800
A-4-14-I,A,4,14,I,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,2449100,2853200,3257300
A-4-14-II,A,4,14,II,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,4106400,4784000,5461500
A-4-14-III,A,4,14,III,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,4927700,5740800,6553800
A-4-15-I,A,4,15,I,INFEKSI HIV (RINGAN),1,A,PEMERINTAH,INAP,19053700,22197500,25341300
A-4-15-II,A,4,15,II,INFEKSI HIV (SEDANG),1,A,PEMERINTAH,INAP,23728100,27643200,31558300
A-4-15-III,A,4,15,III,INFEKSI HIV (BERAT),1,A,PEMERINTAH,INAP,26806100,31229100,35652100
B-1-01-I,B,1,1,I,PENCANGKOKAN HATI (RINGAN),1,A,PEMERINTAH,INAP,300709600,350326600,399943700
B-1-01-II,B,1,1,II,PENCANGKOKAN HATI (SEDANG),1,A,PEMERINTAH,INAP,303348900,353401500,403454000
B-1-01-III,B,1,1,III,PENCANGKOKAN HATI (BERAT),1,A,PEMERINTAH,INAP,306473400,357041500,407609600
B-1-10-I,B,1,10,I,PROSEDUR HATI DAN PANKREAS (RINGAN),1,A,PEMERINTAH,INAP,13222300,15404000,17585700
B-1-10-II,B,1,10,II,PROSEDUR HATI DAN PANKREAS (SEDANG),1,A,PEMERINTAH,INAP,20950400,24407200,27864000
B-1-10-III,B,1,10,III,PROSEDUR HATI DAN PANKREAS (BERAT),1,A,PEMERINTAH,INAP,37209400,43348900,49488500
B-1-11-I,B,1,11,I,PROSEDUR SALURAN EMPEDU KOMPLEK (RINGAN),1,A,PEMERINTAH,INAP,33886600,39477900,45069200
B-1-11-II,B,1,11,II,PROSEDUR SALURAN EMPEDU KOMPLEK (SEDANG),1,A,PEMERINTAH,INAP,40377600,47039900,53702300
B-1-11-III,B,1,11,III,PROSEDUR SALURAN EMPEDU KOMPLEK (BERAT),1,A,PEMERINTAH,INAP,62394800,72689900,82985100
B-1-12-I,B,1,12,I,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (RINGAN),1,A,PEMERINTAH,INAP,9971600,11616900,13262300
B-1-12-II,B,1,12,II,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (SEDANG),1,A,PEMERINTAH,INAP,11090300,12920200,14750100
B-1-12-III,B,1,12,III,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (BERAT),1,A,PEMERINTAH,INAP,17349400,20212100,23074800
B-1-13-I,B,1,13,I,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,9781900,11395900,13009900
B-1-13-II,B,1,13,II,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,13771600,16043900,18316100
B-1-13-III,B,1,13,III,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,20430100,23801000,27172000
B-1-14-I,B,1,14,I,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (RINGAN),1,A,PEMERINTAH,INAP,20809300,24242800,27676400
B-1-14-II,B,1,14,II,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (SEDANG),1,A,PEMERINTAH,INAP,21855600,25461800,29068000
B-1-14-III,B,1,14,III,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (BERAT),1,A,PEMERINTAH,INAP,38688200,45071800,51455400
B-4-10-I,B,4,10,I,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (RINGAN),1,A,PEMERINTAH,INAP,4394400,5119500,5844500
B-4-10-II,B,4,10,II,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (SEDANG),1,A,PEMERINTAH,INAP,5729800,6675200,7620700
B-4-10-III,B,4,10,III,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (BERAT),1,A,PEMERINTAH,INAP,8692500,10126700,11561000
B-4-11-I,B,4,11,I,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (RINGAN),1,A,PEMERINTAH,INAP,7119100,8293800,9468500
B-4-11-II,B,4,11,II,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (SEDANG),1,A,PEMERINTAH,INAP,9966900,11611400,13256000
B-4-11-III,B,4,11,III,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (BERAT),1,A,PEMERINTAH,INAP,12074700,14067000,16059400
B-4-12-I,B,4,12,I,GANGGUAN PANKREAS SELAIN TUMOR (RINGAN),1,A,PEMERINTAH,INAP,6935700,8080100,9224500
B-4-12-II,B,4,12,II,GANGGUAN PANKREAS SELAIN TUMOR (SEDANG),1,A,PEMERINTAH,INAP,10075800,11738300,13400800
B-4-12-III,B,4,12,III,GANGGUAN PANKREAS SELAIN TUMOR (BERAT),1,A,PEMERINTAH,INAP,13636000,15885900,18135900
B-4-13-I,B,4,13,I,GANGGUAN HATI LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,6139900,7153000,8166100
B-4-13-II,B,4,13,II,GANGGUAN HATI LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7152800,8333000,9513200
B-4-13-III,B,4,13,III,GANGGUAN HATI LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,9853500,11479300,13105200
B-4-14-I,B,4,14,I,GANGGUAN SALURAN EMPEDU LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,6133400,7145400,8157400
B-4-14-II,B,4,14,II,GANGGUAN SALURAN EMPEDU LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7155300,8335900,9516600
B-4-14-III,B,4,14,III,GANGGUAN SALURAN EMPEDU LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,9584700,11166200,12747700
C-4-10-I,C,4,10,I,LEUKEMIA AKUT (RINGAN),1,A,PEMERINTAH,INAP,12422400,14472100,16521800
C-4-10-II,C,4,10,II,LEUKEMIA AKUT (SEDANG),1,A,PEMERINTAH,INAP,19978600,23275100,26571600
C-4-10-III,C,4,10,III,LEUKEMIA AKUT (BERAT),1,A,PEMERINTAH,INAP,37433400,43609900,49786400
C-4-11-I,C,4,11,I,LIMFOMA & LEUKEMIA NON AKUT (RINGAN),1,A,PEMERINTAH,INAP,6466300,7533200,8600200
C-4-11-II,C,4,11,II,LIMFOMA & LEUKEMIA NON AKUT (SEDANG),1,A,PEMERINTAH,INAP,8652800,10080500,11508300
C-4-11-III,C,4,11,III,LIMFOMA & LEUKEMIA NON AKUT (BERAT),1,A,PEMERINTAH,INAP,13303800,15498900,17694100
C-4-12-I,C,4,12,I,RADIOTERAPI (RINGAN),1,A,PEMERINTAH,INAP,7256600,8453900,9651200
C-4-12-II,C,4,12,II,RADIOTERAPI (SEDANG),1,A,PEMERINTAH,INAP,13001300,15146400,17291600
C-4-12-III,C,4,12,III,RADIOTERAPI (BERAT),1,A,PEMERINTAH,INAP,21779100,25372600,28966200
C-4-13-I,C,4,13,I,KEMOTERAPI (RINGAN),1,A,PEMERINTAH,INAP,3236800,3770900,4305000
C-4-13-II,C,4,13,II,KEMOTERAPI (SEDANG),1,A,PEMERINTAH,INAP,6091700,7096800,8102000
C-4-13-III,C,4,13,III,KEMOTERAPI (BERAT),1,A,PEMERINTAH,INAP,8246100,9606700,10967400
C-4-14-I,C,4,14,I,TUMOR MYELOPROLIFERATIF LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,5719900,6663600,7607400
C-4-14-II,C,4,14,II,TUMOR MYELOPROLIFERATIF LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7604800,8859600,10114400
C-4-14-III,C,4,14,III,TUMOR MYELOPROLIFERATIF LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,11241000,13095800,14950600
D-1-10-I,D,1,10,I,PENCANGKOKAN SUMSUM TULANG (RINGAN),1,A,PEMERINTAH,INAP,32492900,37854200,43215600
D-1-10-II,D,1,10,II,PENCANGKOKAN SUMSUM TULANG (SEDANG),1,A,PEMERINTAH,INAP,49488900,57654600,65820300
D-1-10-III,D,1,10,III,PENCANGKOKAN SUMSUM TULANG (BERAT),1,A,PEMERINTAH,INAP,70923000,82625300,94327600
D-1-11-I,D,1,11,I,PROSEDUR LIMPA (RINGAN),1,A,PEMERINTAH,INAP,11289200,13151900,15014600
D-1-11-II,D,1,11,II,PROSEDUR LIMPA (SEDANG),1,A,PEMERINTAH,INAP,22214300,25879700,29545000
D-1-11-III,D,1,11,III,PROSEDUR LIMPA (BERAT),1,A,PEMERINTAH,INAP,28868400,33631700,38395000
D-1-20-I,D,1,20,I,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,7541600,8786000,10030400
D-1-20-II,D,1,20,II,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,20783600,24212900,27642200
D-1-20-III,D,1,20,III,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,32968800,38408600,43848500
D-4-10-I,D,4,10,I,AGRANULOSITOSIS (RINGAN),1,A,PEMERINTAH,INAP,3290400,3833300,4376200
D-4-10-II,D,4,10,II,AGRANULOSITOSIS (SEDANG),1,A,PEMERINTAH,INAP,5185200,6040700,6896300
D-4-10-III,D,4,10,III,AGRANULOSITOSIS (BERAT),1,A,PEMERINTAH,INAP,7981500,9298400,10615400
A-4-10-I,A,4,10,I,SEPTIKEMIA (RINGAN),1,A,PEMERINTAH,INAP,3702300,4313200,4924100
A-4-10-II,A,4,10,II,SEPTIKEMIA (SEDANG),1,A,PEMERINTAH,INAP,6323900,7367300,8410800
A-4-10-III,A,4,10,III,SEPTIKEMIA (BERAT),1,A,PEMERINTAH,INAP,8526600,9933500,11340400
A-4-11-I,A,4,11,I,INFEKSI SESUDAH OPERASI & TRAUMA (RINGAN),1,A,PEMERINTAH,INAP,4917700,5729100,6540500
A-4-11-II,A,4,11,II,INFEKSI SESUDAH OPERASI & TRAUMA (SEDANG),1,A,PEMERINTAH,INAP,6465700,7532500,8599300
A-4-11-III,A,4,11,III,INFEKSI SESUDAH OPERASI & TRAUMA (BERAT),1,A,PEMERINTAH,INAP,8841500,10300300,11759200
A-4-12-I,A,4,12,I,DEMAM YANG TIDAK DITENTUKAN (RINGAN),1,A,PEMERINTAH,INAP,2927100,3410100,3893100
A-4-12-II,A,4,12,II,DEMAM YANG TIDAK DITENTUKAN (SEDANG),1,A,PEMERINTAH,INAP,5052600,5886300,6720000
A-4-12-III,A,4,12,III,DEMAM YANG TIDAK DITENTUKAN (BERAT),1,A,PEMERINTAH,INAP,7279900,8481100,9682300
A-4-13-I,A,4,13,I,INFEKSI VIRAL & NON-BAKTERIAL LAIN (RINGAN),1,A,PEMERINTAH,INAP,2178600,2538100,2897600
A-4-13-II,A,4,13,II,INFEKSI VIRAL & NON-BAKTERIAL LAIN (SEDANG),1,A,PEMERINTAH,INAP,3850100,4485400,5120700
A-4-13-III,A,4,13,III,INFEKSI VIRAL & NON-BAKTERIAL LAIN (BERAT),1,A,PEMERINTAH,INAP,4620100,5382400,6144800
A-4-14-I,A,4,14,I,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,2449100,2853200,3257300
A-4-14-II,A,4,14,II,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,4106400,4784000,5461500
A-4-14-III,A,4,14,III,PENYAKIT INFEKSI BAKTERI DAN PARASIT LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,4927700,5740800,6553800
A-4-15-I,A,4,15,I,INFEKSI HIV (RINGAN),1,A,PEMERINTAH,INAP,19053700,22197500,25341300
A-4-15-II,A,4,15,II,INFEKSI HIV (SEDANG),1,A,PEMERINTAH,INAP,23728100,27643200,31558300
A-4-15-III,A,4,15,III,INFEKSI HIV (BERAT),1,A,PEMERINTAH,INAP,26806100,31229100,35652100
B-1-01-I,B,1,1,I,PENCANGKOKAN HATI (RINGAN),1,A,PEMERINTAH,INAP,300709600,350326600,399943700
B-1-01-II,B,1,1,II,PENCANGKOKAN HATI (SEDANG),1,A,PEMERINTAH,INAP,303348900,353401500,403454000
B-1-01-III,B,1,1,III,PENCANGKOKAN HATI (BERAT),1,A,PEMERINTAH,INAP,306473400,357041500,407609600
B-1-10-I,B,1,10,I,PROSEDUR HATI DAN PANKREAS (RINGAN),1,A,PEMERINTAH,INAP,13222300,15404000,17585700
B-1-10-II,B,1,10,II,PROSEDUR HATI DAN PANKREAS (SEDANG),1,A,PEMERINTAH,INAP,20950400,24407200,27864000
B-1-10-III,B,1,10,III,PROSEDUR HATI DAN PANKREAS (BERAT),1,A,PEMERINTAH,INAP,37209400,43348900,49488500
B-1-11-I,B,1,11,I,PROSEDUR SALURAN EMPEDU KOMPLEK (RINGAN),1,A,PEMERINTAH,INAP,33886600,39477900,45069200
B-1-11-II,B,1,11,II,PROSEDUR SALURAN EMPEDU KOMPLEK (SEDANG),1,A,PEMERINTAH,INAP,40377600,47039900,53702300
B-1-11-III,B,1,11,III,PROSEDUR SALURAN EMPEDU KOMPLEK (BERAT),1,A,PEMERINTAH,INAP,62394800,72689900,82985100
B-1-12-I,B,1,12,I,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (RINGAN),1,A,PEMERINTAH,INAP,9971600,11616900,13262300
B-1-12-II,B,1,12,II,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (SEDANG),1,A,PEMERINTAH,INAP,11090300,12920200,14750100
B-1-12-III,B,1,12,III,CHOLESISTEKTOMI TANPA LAPAROSKOPIK (BERAT),1,A,PEMERINTAH,INAP,17349400,20212100,23074800
B-1-13-I,B,1,13,I,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,9781900,11395900,13009900
B-1-13-II,B,1,13,II,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,13771600,16043900,18316100
B-1-13-III,B,1,13,III,PROSEDUR PANKREAS DAN HEPATOBILLIARI LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,20430100,23801000,27172000
B-1-14-I,B,1,14,I,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (RINGAN),1,A,PEMERINTAH,INAP,20809300,24242800,27676400
B-1-14-II,B,1,14,II,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (SEDANG),1,A,PEMERINTAH,INAP,21855600,25461800,29068000
B-1-14-III,B,1,14,III,CHOLESISTEKTOMI DENGAN LAPAROSKOPIK (BERAT),1,A,PEMERINTAH,INAP,38688200,45071800,51455400
B-4-10-I,B,4,10,I,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (RINGAN),1,A,PEMERINTAH,INAP,4394400,5119500,5844500
B-4-10-II,B,4,10,II,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (SEDANG),1,A,PEMERINTAH,INAP,5729800,6675200,7620700
B-4-10-III,B,4,10,III,SIROSIS HATI DAN HEPATITIS ALKOHOLIK (BERAT),1,A,PEMERINTAH,INAP,8692500,10126700,11561000
B-4-11-I,B,4,11,I,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (RINGAN),1,A,PEMERINTAH,INAP,7119100,8293800,9468500
B-4-11-II,B,4,11,II,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (SEDANG),1,A,PEMERINTAH,INAP,9966900,11611400,13256000
B-4-11-III,B,4,11,III,TUMOR SISTEM HEPATOBILLIARI DAN PANCREAS (BERAT),1,A,PEMERINTAH,INAP,12074700,14067000,16059400
B-4-12-I,B,4,12,I,GANGGUAN PANKREAS SELAIN TUMOR (RINGAN),1,A,PEMERINTAH,INAP,6935700,8080100,9224500
B-4-12-II,B,4,12,II,GANGGUAN PANKREAS SELAIN TUMOR (SEDANG),1,A,PEMERINTAH,INAP,10075800,11738300,13400800
B-4-12-III,B,4,12,III,GANGGUAN PANKREAS SELAIN TUMOR (BERAT),1,A,PEMERINTAH,INAP,13636000,15885900,18135900
B-4-13-I,B,4,13,I,GANGGUAN HATI LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,6139900,7153000,8166100
B-4-13-II,B,4,13,II,GANGGUAN HATI LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7152800,8333000,9513200
B-4-13-III,B,4,13,III,GANGGUAN HATI LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,9853500,11479300,13105200
B-4-14-I,B,4,14,I,GANGGUAN SALURAN EMPEDU LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,6133400,7145400,8157400
B-4-14-II,B,4,14,II,GANGGUAN SALURAN EMPEDU LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7155300,8335900,9516600
B-4-14-III,B,4,14,III,GANGGUAN SALURAN EMPEDU LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,9584700,11166200,12747700
C-4-10-I,C,4,10,I,LEUKEMIA AKUT (RINGAN),1,A,PEMERINTAH,INAP,12422400,14472100,16521800
C-4-10-II,C,4,10,II,LEUKEMIA AKUT (SEDANG),1,A,PEMERINTAH,INAP,19978600,23275100,26571600
C-4-10-III,C,4,10,III,LEUKEMIA AKUT (BERAT),1,A,PEMERINTAH,INAP,37433400,43609900,49786400
C-4-11-I,C,4,11,I,LIMFOMA & LEUKEMIA NON AKUT (RINGAN),1,A,PEMERINTAH,INAP,6466300,7533200,8600200
C-4-11-II,C,4,11,II,LIMFOMA & LEUKEMIA NON AKUT (SEDANG),1,A,PEMERINTAH,INAP,8652800,10080500,11508300
C-4-11-III,C,4,11,III,LIMFOMA & LEUKEMIA NON AKUT (BERAT),1,A,PEMERINTAH,INAP,13303800,15498900,17694100
C-4-12-I,C,4,12,I,RADIOTERAPI (RINGAN),1,A,PEMERINTAH,INAP,7256600,8453900,9651200
C-4-12-II,C,4,12,II,RADIOTERAPI (SEDANG),1,A,PEMERINTAH,INAP,13001300,15146400,17291600
C-4-12-III,C,4,12,III,RADIOTERAPI (BERAT),1,A,PEMERINTAH,INAP,21779100,25372600,28966200
C-4-13-I,C,4,13,I,KEMOTERAPI (RINGAN),1,A,PEMERINTAH,INAP,3236800,3770900,4305000
C-4-13-II,C,4,13,II,KEMOTERAPI (SEDANG),1,A,PEMERINTAH,INAP,6091700,7096800,8102000
C-4-13-III,C,4,13,III,KEMOTERAPI (BERAT),1,A,PEMERINTAH,INAP,8246100,9606700,10967400
C-4-14-I,C,4,14,I,TUMOR MYELOPROLIFERATIF LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,5719900,6663600,7607400
C-4-14-II,C,4,14,II,TUMOR MYELOPROLIFERATIF LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7604800,8859600,10114400
C-4-14-III,C,4,14,III,TUMOR MYELOPROLIFERATIF LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,11241000,13095800,14950600
D-1-10-I,D,1,10,I,PENCANGKOKAN SUMSUM TULANG (RINGAN),1,A,PEMERINTAH,INAP,32492900,37854200,43215600
D-1-10-II,D,1,10,II,PENCANGKOKAN SUMSUM TULANG (SEDANG),1,A,PEMERINTAH,INAP,49488900,57654600,65820300
D-1-10-III,D,1,10,III,PENCANGKOKAN SUMSUM TULANG (BERAT),1,A,PEMERINTAH,INAP,70923000,82625300,94327600
D-1-11-I,D,1,11,I,PROSEDUR LIMPA (RINGAN),1,A,PEMERINTAH,INAP,11289200,13151900,15014600
D-1-11-II,D,1,11,II,PROSEDUR LIMPA (SEDANG),1,A,PEMERINTAH,INAP,22214300,25879700,29545000
D-1-11-III,D,1,11,III,PROSEDUR LIMPA (BERAT),1,A,PEMERINTAH,INAP,28868400,33631700,38395000
D-1-20-I,D,1,20,I,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,7541600,8786000,10030400
D-1-20-II,D,1,20,II,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,20783600,24212900,27642200
D-1-20-III,D,1,20,III,PROSEDUR PADA DARAH DAN ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,32968800,38408600,43848500
D-4-10-I,D,4,10,I,AGRANULOSITOSIS (RINGAN),1,A,PEMERINTAH,INAP,3290400,3833300,4376200
D-4-10-II,D,4,10,II,AGRANULOSITOSIS (SEDANG),1,A,PEMERINTAH,INAP,5185200,6040700,6896300
D-4-10-III,D,4,10,III,AGRANULOSITOSIS (BERAT),1,A,PEMERINTAH,INAP,7981500,9298400,10615400
D-4-11-I,D,4,11,I,GANGGUAN PEMBEKUAN DARAH (RINGAN),1,A,PEMERINTAH,INAP,5904100,6878300,7852500
D-4-11-II,D,4,11,II,GANGGUAN PEMBEKUAN DARAH (SEDANG),1,A,PEMERINTAH,INAP,10609400,12359900,14110500
D-4-11-III,D,4,11,III,GANGGUAN PEMBEKUAN DARAH (BERAT),1,A,PEMERINTAH,INAP,14574600,16979400,19384300
D-4-12-I,D,4,12,I,KRISIS ANEMIA SEL SICKLE (RINGAN),1,A,PEMERINTAH,INAP,5264500,6133100,7001700
D-4-12-II,D,4,12,II,KRISIS ANEMIA SEL SICKLE (SEDANG),1,A,PEMERINTAH,INAP,7301900,8506700,9711600
D-4-12-III,D,4,12,III,KRISIS ANEMIA SEL SICKLE (BERAT),1,A,PEMERINTAH,INAP,10841100,12629900,14418700
D-4-13-I,D,4,13,I,GANGGUAN SEL DARAH MERAH SELAIN KRISIS ANEMIA SEL SICKLE (RINGAN),1,A,PEMERINTAH,INAP,4362200,5081900,5801700
D-4-13-II,D,4,13,II,GANGGUAN SEL DARAH MERAH SELAIN KRISIS ANEMIA SEL SICKLE (SEDANG),1,A,PEMERINTAH,INAP,6173900,7192600,8211300
D-4-13-III,D,4,13,III,GANGGUAN SEL DARAH MERAH SELAIN KRISIS ANEMIA SEL SICKLE (BERAT),1,A,PEMERINTAH,INAP,7896600,9199500,10502500
D-4-14-I,D,4,14,I,GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (RINGAN),1,A,PEMERINTAH,INAP,4678500,5450500,6222500
D-4-14-II,D,4,14,II,GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (SEDANG),1,A,PEMERINTAH,INAP,7660000,8923900,10187800
D-4-14-III,D,4,14,III,GANGGUAN PADA DARAH & ORGAN PEMBENTUK DARAH LAIN-LAIN (BERAT),1,A,PEMERINTAH,INAP,9368900,10914800,12460700
E-1-01-I,E,1,1,I,PROSEDUR KELENJAR PITUITARI DAN PINEAL (RINGAN),1,A,PEMERINTAH,INAP,18442100,21485100,24528000
E-1-01-II,E,1,1,II,PROSEDUR KELENJAR PITUITARI DAN PINEAL (SEDANG),1,A,PEMERINTAH,INAP,21095200,24575900,28056600
E-1-01-III,E,1,1,III,PROSEDUR KELENJAR PITUITARI DAN PINEAL (BERAT),1,A,PEMERINTAH,INAP,36392700,42397500,48402300
E-1-10-I,E,1,10,I,PROSEDUR KELENJAR ADRENAL (RINGAN),1,A,PEMERINTAH,INAP,13969800,16274800,18579800
E-1-10-II,E,1,10,II,PROSEDUR KELENJAR ADRENAL (SEDANG),1,A,PEMERINTAH,INAP,18368700,21399500,24430400
E-1-10-III,E,1,10,III,PROSEDUR KELENJAR ADRENAL (BERAT),1,A,PEMERINTAH,INAP,32880000,38305200,43730400
E-1-20-I,E,1,20,I,"PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL (RINGAN)",1,A,PEMERINTAH,INAP,10976800,12788000,14599200
E-1-20-II,E,1,20,II,"PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL (SEDANG)",1,A,PEMERINTAH,INAP,14774500,17212300,19650100
E-1-20-III,E,1,20,III,"PROSEDUR PADA TIROID, PARATIROID DAN SALURAN TIROGLOSAL (BERAT)",1,A,PEMERINTAH,INAP,20362200,23722000,27081800
E-4-10-I,E,4,10,I,PENYAKIT KENCING MANIS & GANGGUAN NUTRISI/ METABOLIK (RINGAN),1,A,PEMERINTAH,INAP,3884700,4525700,5166700
E-4-10-II,E,4,10,II,PENYAKIT KENCING MANIS & GANGGUAN NUTRISI/ METABOLIK (SEDANG),1,A,PEMERINTAH,INAP,7524000,8765400,10006900
E-4-10-III,E,4,10,III,PENYAKIT KENCING MANIS & GANGGUAN NUTRISI/ METABOLIK (BERAT),1,A,PEMERINTAH,INAP,12607200,14687400,16767600
E-4-11-I,E,4,11,I,HIPOVOLEMIA & GANGGUAN ELEKROLIT (RINGAN),1,A,PEMERINTAH,INAP,4315200,5027200,5739300
E-4-11-II,E,4,11,II,HIPOVOLEMIA & GANGGUAN ELEKROLIT (SEDANG),1,A,PEMERINTAH,INAP,6578900,7664400,8750000
E-4-11-III,E,4,11,III,HIPOVOLEMIA & GANGGUAN ELEKROLIT (BERAT),1,A,PEMERINTAH,INAP,8914900,10385800,11856800
E-4-12-I,E,4,12,I,GANGGUAN METABOLIK BAWAAN (RINGAN),1,A,PEMERINTAH,INAP,4958100,5776200,6594300
E-4-12-II,E,4,12,II,GANGGUAN METABOLIK BAWAAN (SEDANG),1,A,PEMERINTAH,INAP,8586200,10002900,11419700
E-4-12-III,E,4,12,III,GANGGUAN METABOLIK BAWAAN (BERAT),1,A,PEMERINTAH,INAP,10177800,11857100,13536500
